well_id,step_index,stage_name,fluid_role,fluid_name,volume_m3,rate_m3_min,start_time_min,end_time_min,density_g_cm3,event_tag,data_type,source_file,source_location,confidence,notes
hu101,0,initial_condition,mud,油基钻井液,,,0,0,1.96,,field_measured,2/201/2011/20111/201111/2011111.doc,1.4.1,high,井内原钻井液密度1.96g/cm3
hu101,1,pump_balance_fluid,spacer,平衡液(轻泥浆),25,1.2,0,21,1.85,,field_measured+design,2/201/2011/20111/201111/2011113.doc,八、施工简述,high,设计25m3；实际施工16:04-16:33泵注25m3，泵压9-11MPa
hu101,2,pump_spacer,spacer,驱油隔离液,25,1.2,21,42,2.00,,field_measured+design,2/201/2011/20111/201111/2011113.doc,八,high,设计25m3；16:59停泵倒闸门配置隔离液
hu101,3,pump_lead,lead_cement,领浆(加重水泥),47,1.2,42,81,2.10,,field_measured,2/201/2011/20111/201111/2011113.doc,七、注水泥,high,实际17:34-18:24注领浆，密度2.10g/cm3，实际灰量121t
hu101,4,pump_tail,tail_cement,尾浆(超细水泥),23,1.2,81,100,1.90,,field_measured,2/201/2011/20111/201111/2011113.doc,七,high,实际18:24-19:00注尾浆，密度1.90g/cm3
hu101,5,pump_plug_fluid,spacer,中置液/压塞液(驱油隔离液),2,0.6,100,103,2.00,,field_measured,2/201/2011/20111/201111/2011115.doc,固井施工记录,high,注入量2m3，排量0.6m3/min
hu101,6,displace_light_mud,displacement,轻泥浆(替浆液),26,1.5,103,120,1.85,rate_change,field_measured,2/201/2011/20111/201111/2011113.doc,八,high,替浆液26m3
hu101,7,displace_spacer,displacement,中置液,10,1.5,120,127,2.00,,field_measured,2/201/2011/20111/201111/2011111.doc,6.1.3,high,中置液10m3
hu101,8,displace_mud,displacement,钻井液,52,1.5-0.55,127,162,1.96,rate_change,field_measured,2/201/2011/20111/201111/2011113.doc,八,high,替浆排量1.5-0.55m3/min，19:03-20:52
hu101,9,bump_plug,plug,碰压,,,162,,,bump_pressure_4.8-9MPa,field_measured,2/201/2011/20111/201111/2011115.doc,碰压,high,碰压4.8-9MPa，放回水正常；实际提前12.2m3碰压
hu101,10,circulate_control_pressure,displacement,钻井液,85,2.4,162,200,1.96,circulate_excess_mud,field_measured,2/201/2011/20111/201111/2011114.doc,四、固井施工数据,high,循环排除混浆85m3，排量2.4m3/min，压力16-17MPa
hu101,11,shut_in,shutdown,候凝,,,,,,shut_in_72h,field_measured,2/201/2011/20111/201111/2011115.doc,候凝,high,21:30候凝，控压4MPa憋压候凝72h
