depth_top_m,depth_bottom_m,quality_grade,cbl_amplitude_mv,vdl_pattern,casing_diameter_mm,logging_date,source_file,notes
7210,7415,优,<10,强地层信号，无套管波,139.7,2020-12-01,100611.jpg,"CBL很低, VDL显示良好胶结"
7415,7430,差,升高,套管波明显,139.7,2020-12-01,100611.jpg,"CBL升高, VDL显示套管波"
7430,7465,优,<10,地层信号回归,139.7,2020-12-01,100611.jpg,
7465,7485,中,升高,套管波可见,139.7,2020-12-01,100611.jpg,局部胶结较差
7485,7560,优,<10,地层信号良好,139.7,2020-12-01,100611.jpg,井底段胶结优秀
7333,7474,优,<10,强地层信号,139.7,2019-12-20,100612.jpg,优良胶结
7474,7514,不合格,~60,强套管波，无地层信号,139.7,2019-12-20,100612.jpg,自由套管/很差胶结
7514,7586,合格,10-30,套管波+部分地层信号,139.7,2019-12-20,100612.jpg,"部分胶结, 可能有窜槽"
7586,7607,优/合格,低-中,地层信号增强,139.7,2019-12-20,100612.jpg,向井底胶结改善
5630,6400,优,<5,强地层信号,139.7,2020后期,100613.jpg,90%以上优良胶结
6400,6850,优,5-10,强地层信号,139.7,2020后期,100613.jpg,
6860,6885,差,40-50,套管波明显,139.7,2020后期,100613.jpg,局部差
6885,6970,优,<10,地层信号回归,139.7,2020后期,100613.jpg,
7025,7065,差/中,~50,套管波可见,139.7,2020后期,100613.jpg,局部差-中
7100,7300,优,10-20,地层信号主导,139.7,2020后期,100613.jpg,偶有中等
7300,7425,优,<5,强地层信号,139.7,2020后期,100613.jpg,底部胶结优秀
